Product,Sub-product,Issue,Sub-issue,State,Company,Company response,Timely response?,Complaint ID,ZIP code
4,25,23,15,50,1069,4,1,1291006,76119
4,21,24,11,50,50,1,1,1290580,77479
6,11,7,22,23,1118,1,1,1290564,2127
2,25,63,22,7,967,4,1,1291615,92592
4,26,24,12,40,1401,4,1,1292165,43068
4,32,23,6,40,15,4,1,1291176,43068
1,19,60,22,40,291,1,1,1288848,44241
4,32,23,6,7,15,1,1,1288788,95124
4,27,24,14,36,409,3,1,1288324,7067
4,32,81,43,50,382,1,1,1288304,77433
4,27,40,16,33,981,1,1,1289772,58237
0,28,36,22,46,1229,4,1,1288903,2893
4,27,24,11,8,510,1,1,1289633,80301
8,25,15,22,50,15,4,1,1289273,78205
4,27,37,25,51,44,3,1,1289900,84405
4,25,37,25,2,505,4,1,1290486,36756
4,27,40,3,43,864,1,1,1289049,19140
4,21,24,11,50,115,1,1,1288962,77099
4,27,23,46,7,1150,1,1,1289394,92069
4,27,37,38,39,260,1,1,1288148,10470
6,11,54,22,32,579,4,1,1288098,28110
4,27,46,8,13,1164,1,1,1288375,30058
4,25,46,9,18,920,1,1,1289844,60411
4,32,23,45,7,15,1,1,1290474,92592
1,42,73,22,56,81,4,1,1286761,53183
0,4,1,22,18,729,1,1,1286755,60628
3,25,49,1,27,1398,1,1,1286639,48091
4,7,24,13,12,505,4,1,1286559,33990
0,4,1,22,12,1498,1,1,1286777,32713
6,5,55,22,7,198,4,1,1287586,95032
4,21,24,11,9,246,1,1,1287135,6611
4,21,40,3,42,260,4,1,1287567,97233
4,27,37,25,13,72,1,1,1287501,30518
6,6,54,22,7,198,4,1,1288242,91205
4,27,40,3,52,438,1,1,1288281,22180
3,25,49,0,55,1398,1,1,1289846,98502
3,25,49,0,55,1398,1,1,1289847,98502
1,42,73,22,43,81,4,1,1289788,19149
4,7,81,44,49,526,1,1,1288284,38305
5,10,66,22,2,903,4,1,1286791,35115
3,25,31,21,27,473,1,1,1287677,48334
6,6,55,22,56,177,1,1,1288263,53579
2,25,35,22,43,113,1,1,1287783,19406
1,42,73,22,18,967,4,1,1287765,61554
4,27,24,11,24,409,1,1,1288273,21704
4,27,24,11,12,1307,1,1,1286793,33063
4,25,24,11,16,1335,1,1,1288199,51526
4,25,24,11,7,981,0,1,1287753,94610
2,25,63,22,27,113,1,1,1285893,48088
4,25,37,25,12,312,1,1,1285956,33462
2,25,51,22,13,1498,2,1,1286966,30075
1,42,80,22,21,967,4,1,1287395,42223
3,25,49,26,27,1398,3,1,1287443,48473
1,42,80,22,39,81,4,1,1286928,11415
4,21,24,11,12,1401,4,1,1287315,34473
1,42,73,22,56,81,4,1,1287293,53105
0,4,1,22,7,729,1,1,1287285,90801
4,25,23,7,22,1144,4,1,1287601,70774
4,25,46,9,32,994,1,1,1286199,27205
4,21,24,13,18,127,0,1,1286421,61032
3,25,49,32,8,547,1,1,1286515,80540
4,27,24,11,41,586,1,1,1286004,73072
4,27,37,25,23,145,4,1,1286368,2038
4,21,24,14,18,894,0,1,1286384,62704
4,21,46,42,49,1401,4,1,1286200,37074
6,11,27,22,34,813,1,1,1286314,68135
1,34,59,22,16,1498,1,1,1286211,50317
8,25,17,22,20,1291,1,1,1286231,66606
4,25,24,11,29,1294,4,1,1286224,63040
8,25,21,22,50,15,4,1,1285422,76205
8,25,15,22,42,291,1,1,1284912,97070
0,0,1,22,35,1498,1,1,1284746,3753
3,25,47,36,40,1398,1,1,1284068,44121
6,5,54,22,8,190,4,1,1287644,80516
4,25,24,11,24,1069,4,1,1288174,21085
4,21,23,45,55,1017,1,1,1286165,98311
4,25,24,11,7,52,1,1,1286144,91355
3,25,49,32,7,1398,1,1,1286143,90280
4,25,23,45,19,729,1,1,1286134,46307
0,4,87,22,7,967,4,1,1284406,92844
4,27,24,11,32,453,1,1,1284387,28365
6,11,54,22,40,190,4,1,1283979,43204
2,25,35,22,7,565,1,1,1283784,90201
1,42,73,22,12,983,4,1,1283880,33179
3,25,49,1,33,1398,1,1,1283819,58104
6,5,54,22,7,1247,1,1,1283806,95132
1,42,73,22,12,865,1,1,1283881,33179
4,27,24,14,13,1055,1,1,1283920,30093
1,41,73,22,12,81,4,1,1283913,33154
3,25,49,26,27,1398,3,1,1284333,48237
4,21,46,42,55,1166,1,1,1283995,98115
